Enterprise,ID,INF01,INF02,INF03,INF04,INF05,Prod1,Cult1,Prod3,Prod4,Prod5,Res9,Proc2,Proc3,Res8,Org1,Org2,Org3,Cult2,Mark1,Mark2,Mark3,Mark4,Res7,Res6,Res4,Cult3,Cult4,Cult5,Res5,Res2,Res3,Res1,INF06
E1,1,Caucasia,CEO,,Mechanics,None,4,2,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,Microenterprise
E2,2,Montería,Owner,,Commerce,None,5,3,5,5,5,3,5,3,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,Small enterprise
E3,5,Purísima,Manager,,Agricultural / Agro-industrial,"Productive Colombia, Futuriza, Partnerships for Innovation",5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,Medium enterprise
E4,6,Cereté ,Owner,,Commerce,None,4,3,3,4,4,3,4,3,4,4,3,3,3,4,3,3,4,4,4,4,3,3,3,3,4,4,3,Microenterprise
E5,7,Montería,Owner,,Commerce,None,4,4,4,3,4,4,4,4,4,4,4,4,5,4,5,4,3,4,4,4,4,4,4,4,4,3,4,Small enterprise
E6,10,San Pelayo,Manager,,Commerce,None,5,2,5,5,2,3,4,3,3,3,3,4,4,5,4,4,5,4,4,4,3,3,4,4,2,4,3,Microenterprise
E7,12,Montería,Owner,,Commerce,None,5,5,3,4,4,5,5,5,5,5,2,3,3,5,3,5,5,5,5,5,5,3,5,3,3,3,3,Microenterprise
E8,13,Bogotá,CEO,,Information and communications technologies (ICT),None,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Small enterprise
E9,14,Montería,CEO,,Food ,None,5,4,2,3,4,5,4,5,4,2,2,3,2,5,5,2,4,3,3,3,3,4,4,2,2,3,2,Microenterprise
E10,17,Montería,"Manager, Legal representative",,Manufacturing,None,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,4,5,4,4,Medium enterprise
E11,18,Montería,CEO,,Service sector ,None,5,4,5,4,4,4,4,5,4,5,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,Small enterprise
E12,20,"Moñitos, Córdoba",Owner,,Commerce,None,3,4,3,4,5,4,5,5,4,4,4,3,3,4,4,3,5,5,4,4,5,3,4,4,2,4,3,Microenterprise
E13,21,Cerete,Owner,,Commerce,None,4,3,4,2,3,4,4,3,4,3,4,3,2,4,3,3,4,3,3,4,1,1,4,3,2,1,1,Microenterprise
E14,22,Barranquilla,"CEO, Owner, Legal representative",,Service sector ,None,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Microenterprise
E15,23,Montería,Owner,,Commerce,None,4,5,4,4,5,4,3,4,3,4,5,3,3,4,4,4,4,4,5,5,5,3,5,5,4,4,3,Small enterprise
E16,24,Montería,Owner,,Commerce,None,4,4,3,4,5,3,5,5,5,4,3,3,3,5,5,5,5,5,5,5,4,4,4,4,3,3,3,Small enterprise
E17,26,Montería,Owner,,Transportation and logistics,None,4,4,5,5,3,4,5,4,5,4,5,4,5,4,5,4,5,5,4,3,3,4,5,4,3,3,4,Microenterprise
E18,28,Medellín,Owner,,Commerce,None,5,5,4,4,3,4,4,4,4,5,4,4,4,3,4,3,3,4,4,4,4,2,4,4,3,4,4,Small enterprise
E19,29,Montería,Legal representative,,Construction,None,4,1,2,4,3,3,3,3,3,5,5,3,2,2,2,4,4,4,4,4,5,5,5,5,5,3,3,Microenterprise
E20,32,Montería,"CEO, Owner",,Commerce,None,4,4,5,4,3,3,5,4,3,4,4,5,4,4,3,5,3,4,4,3,3,4,4,5,4,3,3,Microenterprise
E21,33,Puerto Escondido,Owner,,Agricultural / Agro-industrial,None,3,2,3,2,3,2,4,3,3,2,3,2,1,2,3,1,3,2,4,2,2,2,2,4,2,2,2,Microenterprise
E22,35,Montería,CEO,Yes,Service sector ,ALDEA,4,3,4,2,5,4,5,5,4,4,3,3,3,4,5,3,5,4,4,4,4,3,4,4,3,5,4,Microenterprise
E23,36,Montería,Owner,,Food ,None,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,Microenterprise
E24,39,Montería,"CEO, Owner, Manager, Legal representative",,Food,None,4,5,4,4,5,5,5,5,5,4,3,4,4,5,3,4,5,5,5,5,4,5,4,4,4,3,3,Small enterprise
E25,40,Montería,Manager,,Commerce,None,5,3,3,3,4,3,5,5,4,4,3,4,3,3,3,2,3,4,5,5,5,4,5,3,4,4,4,Small enterprise
E26,41,Tierralta,"CEO, Owner",,Commerce,None,3,1,1,5,4,1,5,1,5,4,1,1,4,1,4,3,5,5,5,4,4,1,5,5,1,3,2,Microenterprise
E27,42,Lorica,Owner,,Commerce,None,5,4,4,3,4,4,5,3,4,2,2,4,3,4,3,4,3,4,3,1,4,3,2,3,2,2,2,Microenterprise
E28,43,Montería,Owner,,Fast food ,None,3,5,4,4,4,3,5,5,5,5,3,3,5,4,5,5,5,5,5,4,4,4,5,5,4,4,4,Microenterprise
E29,44,San andres de sotavento ,Owner,,Commerce,None,4,2,3,5,4,4,5,5,5,4,4,5,4,3,5,5,5,5,5,4,4,5,5,4,4,5,4,Microenterprise
E30,45,Montería,Owner,,Commerce,Partnerships for Innovation,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,5,4,5,4,5,5,4,4,4,4,4,4,Microenterprise
E31,46,Montería,CEO,,Manufacturing,Futuriza,2,1,1,1,1,4,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,Microenterprise
E32,47,Montería,Manager,,Service sector ,Futuriza,5,5,5,5,5,3,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,Microenterprise
E33,48,"Puerto libertador, cordoba ",CEO,,Commerce,None,5,4,5,5,5,5,5,5,5,5,5,3,4,4,4,5,5,5,4,5,4,4,4,4,3,4,4,Small enterprise
E34,50,Montería,Owner,,Internet,None,5,5,4,5,5,4,5,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,Small enterprise
E35,52,Montería,Owner,,Commerce,None,3,1,5,5,1,2,5,2,4,5,2,1,5,5,5,5,5,4,5,4,5,5,5,2,1,2,2,Small enterprise
E36,53,Montería,Owner,,Service sector ,None,5,3,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,3,3,3,3,3,4,4,4,Microenterprise
E37,55,Bogotá,"Owner, Legal representative",,Service sector ,None,3,3,3,2,4,2,4,1,2,3,3,4,3,1,1,4,4,3,4,4,4,4,4,4,1,3,2,Microenterprise
E38,56,Cúcuta ,Owner,,Service sector ,None,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,Medium enterprise
E39,57,Montería,CEO,,Service sector ,Futuriza,3,4,5,4,5,2,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,Microenterprise
E40,58,San Jacinto Bolivar,Legal representative,,Social,Partnerships for Innovation,5,5,5,5,5,4,2,4,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,4,Microenterprise
E41,59,Cúcuta ,Manager,,Service sector ,None,5,4,4,4,4,4,4,5,5,5,3,4,4,4,4,4,4,4,5,5,4,4,4,3,3,4,4,Medium enterprise
E42,60,Valencia ,CEO,,Commerce,None,5,5,5,5,5,1,5,5,1,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,Microenterprise
E43,61,Montería,Owner,,Agricultural / Agro-industrial,None,3,3,4,3,3,3,4,2,3,4,2,3,3,4,5,2,5,5,5,3,3,3,3,1,1,2,3,Small enterprise
E44,62,Cartagena,"CEO, Owner",,Service sector ,Entrepreneurial fund ,5,5,4,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,Microenterprise
E45,63,Cerete,CEO,,Commerce,None,3,4,4,4,3,2,4,4,4,4,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,3,3,Small enterprise
E46,64,Planeta Rica ,Owner,,Commerce,None,4,1,4,4,3,1,4,1,4,5,1,5,4,1,1,1,5,1,3,3,4,4,5,4,1,4,1,Microenterprise
E47,66,Medellín,Manager,,Agricultural / Agro-industrial,None,4,3,2,4,2,4,1,2,4,3,3,4,2,4,5,1,2,4,3,5,2,3,4,2,3,2,2,Microenterprise
E48,67,Montería,Owner,,Commerce,None,3,2,3,3,3,2,3,1,3,2,2,2,2,2,3,4,3,3,3,4,3,3,3,3,3,1,1,Microenterprise
E49,68,Medellín,Manager,,Manufacturing,None,3,2,3,2,1,3,2,2,1,2,2,3,3,1,2,2,2,2,2,1,2,1,1,1,3,2,2,Medium enterprise
E50,69,Bogotá,Owner,,Construction,None,5,1,4,5,3,1,5,3,5,4,2,3,4,3,4,3,5,4,4,5,4,5,5,2,3,4,2,Small enterprise
E51,70,Montería,Legal representative,,Finnance and Insurance,None,4,2,4,5,5,5,4,3,4,5,5,2,5,5,4,3,4,5,4,3,2,4,3,3,5,4,5,Small enterprise
E52,71,Montería,Owner,,Healthcare,None,5,4,4,5,4,5,5,5,4,5,2,4,4,5,5,5,5,4,5,4,4,3,4,3,3,4,3,Small enterprise
E53,73,Coveñas,Owner,,Commerce,None,3,4,4,5,4,4,3,1,3,4,5,3,4,4,2,4,3,3,4,4,5,5,5,5,4,5,4,Microenterprise
E54,74,Montería,"CEO, Owner, Manager, Legal representative",,Food,None,5,5,4,4,4,3,3,5,5,4,3,3,3,3,5,5,5,5,4,5,5,5,5,3,1,3,3,Microenterprise
E55,75,Montería,CEO,,Service sector ,"Futuriza, Partnerships for Innovation",4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,Microenterprise
E56,80,Cucuta ,Manager,,Bar,None,5,5,5,5,5,4,4,4,4,4,3,4,4,3,5,4,5,4,5,4,4,5,4,5,4,3,4,Medium enterprise
E57,81,Montería,"Owner, Manager",,Commerce,None,4,4,4,4,1,1,3,2,3,2,1,3,3,3,3,3,3,2,3,3,3,1,2,2,2,2,2,Small enterprise
E58,83,Montería,Owner,,Agricultural / Agro-industrial,None,4,4,4,4,5,4,5,3,5,3,3,4,3,3,4,2,5,5,5,4,4,4,4,5,3,4,3,Microenterprise
E59,84,Montería,"CEO, Owner, Manager, Legal representative",,Commerce,Productive Colombia,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Small enterprise
E60,86,Montería,CEO,,Cleaning products,Partnerships for Innovation,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Microenterprise
E61,87,Montería,"CEO, Owner, Legal representative",,Information and communications technologies (ICT),"ALDEA, Productive Colombia",5,5,5,3,4,4,3,3,4,4,4,4,3,3,4,4,4,4,5,5,4,3,4,4,4,5,5,Microenterprise
E62,89,Cali,"CEO, Legal representative",,Commerce,ALDEA,4,4,4,4,4,3,4,3,3,2,2,2,4,4,4,4,4,4,3,2,2,3,3,3,2,2,2,Microenterprise
